date,ticker,open,high,low,close,volume,daily_return,log_return
2019-01-02,AAPL,149.92,149.96,149.51,149.72,29362058,-0.001861,-0.001861
2019-01-03,AAPL,149.87,149.95,146.38,146.44,30579423,-0.02216,-0.02216
2019-01-04,AAPL,146.95,147.19,146.92,146.99,26308391,0.003784,0.003784
2019-01-05,AAPL,147.1,147.49,144.81,144.82,29468383,-0.01492,-0.01492
2019-01-06,AAPL,144.19,146.11,144.05,146.02,34367021,0.008277,0.008277
2019-01-09,AAPL,146.19,146.26,145.31,145.54,24433888,-0.003309,-0.003309
2019-01-10,AAPL,144.88,147.6,144.7,146.83,25420949,0.008824,0.008824
2019-01-11,AAPL,147.12,149.18,146.87,148.82,24988985,0.01344,0.01344
2019-01-12,AAPL,148.68,148.72,148.42,148.67,33192068,-0.000994,-0.000994
2019-01-13,AAPL,148.96,149.64,148.77,149.5,26413144,0.005548,0.005548
2019-01-16,AAPL,149.72,149.79,147.8,148.49,25903537,-0.00675,-0.00675
2019-01-17,AAPL,148.83,149.26,145.96,146.11,34179086,-0.016183,-0.016183
2019-01-18,AAPL,146.06,149.74,145.91,149.31,34764478,0.021695,0.021695
2019-01-19,AAPL,149.33,149.4,146.06,146.16,33618159,-0.021355,-0.021355
2019-01-20,AAPL,147.17,147.66,146.99,147.48,27191012,0.009012,0.009012
2019-01-23,AAPL,147.9,148.07,145.67,145.69,33746513,-0.012174,-0.012174
2019-01-24,AAPL,145.57,146.1,143.85,144.16,27161317,-0.010552,-0.010552
2019-01-25,AAPL,144.68,145.12,144.61,145.11,30839846,0.006536,0.006536
2019-01-26,AAPL,145.5,147.62,145.2,147.53,34516926,0.016571,0.016571
2019-01-27,AAPL,148.08,148.43,147.5,148.43,28205618,0.006016,0.006016
2019-01-30,AAPL,148.48,152.22,148.14,152.06,29244847,0.024196,0.024196
2019-01-31,AAPL,152.43,155.6,151.71,155.39,33554821,0.02165,0.02165
2019-02-01,AAPL,155.13,156.93,155.13,156.74,38624381,0.008638,0.008638
2019-02-02,AAPL,156.54,156.96,154.18,154.32,28178742,-0.015527,-0.015527
2019-02-03,AAPL,153.75,154.66,153.37,154.59,34425991,0.001767,0.001767
2019-02-06,AAPL,155.65,155.74,154.23,154.65,23483680,0.000348,0.000348
2019-02-07,AAPL,154.8,155.34,153.89,154.41,34953098,-0.001532,-0.001532
2019-02-08,AAPL,155.12,156.06,155.11,155.83,27391751,0.00917,0.00917
2019-02-09,AAPL,155.93,155.98,152.37,152.99,26944875,-0.018423,-0.018423
2019-02-10,AAPL,152.27,153.89,152.19,153.77,34119800,0.005106,0.005106
2019-02-13,AAPL,153.75,157.55,153.61,157.2,32584935,0.022022,0.022022
2019-02-14,AAPL,156.87,158.77,156.84,158.41,33499123,0.007675,0.007675
2019-02-15,AAPL,158.7,161.6,158.01,161.51,31218515,0.019411,0.019411
2019-02-16,AAPL,161.57,162.05,160.81,160.85,32596888,-0.004139,-0.004139
2019-02-17,AAPL,160.6,164.37,160.5,163.81,31148673,0.018236,0.018236
2019-02-20,AAPL,164.23,164.43,162.04,162.37,32591092,-0.00882,-0.00882
2019-02-21,AAPL,161.64,162.09,161.63,161.94,26273585,-0.002642,-0.002642
2019-02-22,AAPL,162.18,163.45,162.05,163.26,35075324,0.008144,0.008144
2019-02-23,AAPL,163.45,163.45,160.84,161.58,20688485,-0.01039,-0.01039
